X,CH1,
Second,Volt,
-1.52800e-04,-8.00e-01,
-1.52700e-04,-1.00e+00,
-1.52600e-04,-1.00e+00,
-1.52500e-04,-8.00e-01,
-1.52400e-04,-8.00e-01,
-1.52300e-04,-8.00e-01,
-1.52200e-04,-1.00e+00,
-1.52100e-04,-6.00e-01,
-1.52000e-04,-6.00e-01,
-1.51900e-04,-1.00e+00,
-1.51800e-04,-8.00e-01,
-1.51700e-04,-6.00e-01,
-1.51600e-04,-8.00e-01,
-1.51500e-04,-6.00e-01,
-1.51400e-04,-8.00e-01,
-1.51300e-04,-6.00e-01,
-1.51200e-04,-8.00e-01,
-1.51100e-04,-6.00e-01,
-1.51000e-04,-2.00e-01,
-1.50900e-04,-1.00e+00,
-1.50800e-04,-2.00e-01,
-1.50700e-04,-1.00e+00,
-1.50600e-04,-6.00e-01,
-1.50500e-04,-1.00e+00,
-1.50400e-04,-8.00e-01,
-1.50300e-04,-8.00e-01,
-1.50200e-04,-8.00e-01,
-1.50100e-04,-6.00e-01,
-1.50000e-04,-8.00e-01,
-1.49900e-04,-6.00e-01,
-1.49800e-04,-6.00e-01,
-1.49700e-04,-8.00e-01,
-1.49600e-04,-8.00e-01,
-1.49500e-04,-6.00e-01,
-1.49400e-04,-8.00e-01,
-1.49300e-04,-8.00e-01,
-1.49200e-04,-6.00e-01,
-1.49100e-04,-8.00e-01,
-1.49000e-04,-8.00e-01,
-1.48900e-04,-6.00e-01,
-1.48800e-04,-6.00e-01,
-1.48700e-04,-8.00e-01,
-1.48600e-04,-8.00e-01,
-1.48500e-04,-6.00e-01,
-1.48400e-04,-8.00e-01,
-1.48300e-04,-6.00e-01,
-1.48200e-04,-8.00e-01,
-1.48100e-04,-6.00e-01,
-1.48000e-04,-8.00e-01,
-1.47900e-04,-6.00e-01,
-1.47800e-04,-6.00e-01,
-1.47700e-04,-8.00e-01,
-1.47600e-04,-6.00e-01,
-1.47500e-04,-8.00e-01,
-1.47400e-04,-6.00e-01,
-1.47300e-04,-8.00e-01,
-1.47200e-04,-8.00e-01,
-1.47100e-04,-6.00e-01,
-1.47000e-04,-8.00e-01,
-1.46900e-04,-2.00e-01,
-1.46800e-04,-1.00e+00,
-1.46700e-04,-6.00e-01,
-1.46600e-04,-8.00e-01,
-1.46500e-04,-6.00e-01,
-1.46400e-04,6.00e-01,
-1.46300e-04,8.20e+00,
-1.46200e-04,8.20e+00,
-1.46100e-04,8.80e+00,
-1.46000e-04,8.60e+00,
-1.45900e-04,8.80e+00,
-1.45800e-04,8.60e+00,
-1.45700e-04,8.80e+00,
-1.45600e-04,8.60e+00,
-1.45500e-04,8.80e+00,
-1.45400e-04,8.60e+00,
-1.45300e-04,8.60e+00,
-1.45200e-04,8.60e+00,
-1.45100e-04,8.60e+00,
-1.45000e-04,8.60e+00,
-1.44900e-04,8.40e+00,
-1.44800e-04,8.60e+00,
-1.44700e-04,8.40e+00,
-1.44600e-04,8.40e+00,
-1.44500e-04,8.60e+00,
-1.44400e-04,8.60e+00,
-1.44300e-04,8.40e+00,
-1.44200e-04,8.60e+00,
-1.44100e-04,8.40e+00,
-1.44000e-04,8.60e+00,
-1.43900e-04,8.40e+00,
-1.43800e-04,8.40e+00,
-1.43700e-04,8.60e+00,
-1.43600e-04,8.40e+00,
-1.43500e-04,8.60e+00,
-1.43400e-04,8.60e+00,
-1.43300e-04,8.40e+00,
-1.43200e-04,8.40e+00,
-1.43100e-04,8.60e+00,
-1.43000e-04,8.40e+00,
-1.42900e-04,8.60e+00,
-1.42800e-04,8.40e+00,
-1.42700e-04,8.60e+00,
-1.42600e-04,8.60e+00,
-1.42500e-04,8.40e+00,
-1.42400e-04,8.60e+00,
-1.42300e-04,8.40e+00,
-1.42200e-04,8.60e+00,
-1.42100e-04,8.40e+00,
-1.42000e-04,8.60e+00,
-1.41900e-04,8.40e+00,
-1.41800e-04,8.60e+00,
-1.41700e-04,8.40e+00,
-1.41600e-04,8.60e+00,
-1.41500e-04,8.40e+00,
-1.41400e-04,8.40e+00,
-1.41300e-04,8.60e+00,
-1.41200e-04,8.60e+00,
-1.41100e-04,8.40e+00,
-1.41000e-04,8.40e+00,
