X,CH1,CH2,
Second,Volt,Volt,
1.01510e-03,1.28e+00,0.00e+00,
1.01520e-03,1.30e+00,0.00e+00,
1.01530e-03,1.38e+00,0.00e+00,
1.01540e-03,1.38e+00,0.00e+00,
1.01550e-03,1.46e+00,0.00e+00,
1.01560e-03,1.46e+00,0.00e+00,
1.01570e-03,1.50e+00,0.00e+00,
1.01580e-03,1.50e+00,2.00e-02,
1.01590e-03,1.54e+00,0.00e+00,
1.01600e-03,1.54e+00,0.00e+00,
1.01610e-03,1.56e+00,2.00e-02,
1.01620e-03,1.56e+00,0.00e+00,
1.01630e-03,1.54e+00,2.00e-02,
1.01640e-03,1.56e+00,2.00e-02,
1.01650e-03,1.52e+00,0.00e+00,
1.01660e-03,1.54e+00,2.00e-02,
1.01670e-03,1.50e+00,4.00e-02,
1.01680e-03,1.50e+00,2.00e-02,
1.01690e-03,1.46e+00,4.00e-02,
1.01700e-03,1.44e+00,2.00e-02,
1.01710e-03,1.38e+00,4.00e-02,
1.01720e-03,1.38e+00,2.00e-02,
1.01730e-03,1.28e+00,4.00e-02,
1.01740e-03,1.28e+00,4.00e-02,
1.01750e-03,1.18e+00,2.00e-02,
1.01760e-03,1.14e+00,4.00e-02,
1.01770e-03,1.06e+00,4.00e-02,
1.01780e-03,1.04e+00,4.00e-02,
1.01790e-03,9.00e-01,2.00e-02,
1.01800e-03,9.00e-01,4.00e-02,
1.01810e-03,7.40e-01,4.00e-02,
1.01820e-03,7.20e-01,4.00e-02,
1.01830e-03,5.80e-01,6.00e-02,
1.01840e-03,5.60e-01,4.00e-02,
1.01850e-03,4.20e-01,6.00e-02,
1.01860e-03,4.00e-01,4.00e-02,
1.01870e-03,2.40e-01,4.00e-02,
1.01880e-03,2.40e-01,4.00e-02,
1.01890e-03,6.00e-02,6.00e-02,
1.01900e-03,6.00e-02,4.00e-02,
1.01910e-03,-1.40e-01,4.00e-02,
1.01920e-03,-1.40e-01,4.00e-02,
1.01930e-03,-3.00e-01,6.00e-02,
1.01940e-03,-3.20e-01,4.00e-02,
1.01950e-03,-4.80e-01,6.00e-02,
1.01960e-03,-5.00e-01,4.00e-02,
1.01970e-03,-6.20e-01,4.00e-02,
1.01980e-03,-6.60e-01,4.00e-02,
1.01990e-03,-7.80e-01,4.00e-02,
1.02000e-03,-8.20e-01,4.00e-02,
1.02010e-03,-9.60e-01,4.00e-02,
1.02020e-03,-9.60e-01,4.00e-02,
1.02030e-03,-1.10e+00,2.00e-02,
1.02040e-03,-1.10e+00,4.00e-02,
1.02050e-03,-1.22e+00,2.00e-02,
1.02060e-03,-1.22e+00,4.00e-02,
1.02070e-03,-1.32e+00,2.00e-02,
1.02080e-03,-1.34e+00,2.00e-02,
1.02090e-03,-1.42e+00,4.00e-02,
1.02100e-03,-1.42e+00,2.00e-02,
1.02110e-03,-1.48e+00,2.00e-02,
1.02120e-03,-1.48e+00,4.00e-02,
1.02130e-03,-1.56e+00,0.00e+00,
1.02140e-03,-1.54e+00,2.00e-02,
1.02150e-03,-1.56e+00,2.00e-02,
1.02160e-03,-1.56e+00,0.00e+00,
1.02170e-03,-1.58e+00,2.00e-02,
1.02180e-03,-1.58e+00,2.00e-02,
1.02190e-03,-1.56e+00,0.00e+00,
1.02200e-03,-1.56e+00,0.00e+00,
1.02210e-03,-1.54e+00,2.00e-02,
1.02220e-03,-1.56e+00,0.00e+00,
1.02230e-03,-1.50e+00,2.00e-02,
1.02240e-03,-1.48e+00,0.00e+00,
1.02250e-03,-1.42e+00,0.00e+00,
1.02260e-03,-1.42e+00,0.00e+00,
1.02270e-03,-1.34e+00,0.00e+00,
1.02280e-03,-1.34e+00,0.00e+00,
1.02290e-03,-1.24e+00,0.00e+00,
1.02300e-03,-1.24e+00,0.00e+00,
1.02310e-03,-1.10e+00,0.00e+00,
1.02320e-03,-1.08e+00,0.00e+00,
1.02330e-03,-1.00e+00,0.00e+00,
1.02340e-03,-9.60e-01,0.00e+00,
1.02350e-03,-8.20e-01,0.00e+00,
1.02360e-03,-8.00e-01,0.00e+00,
1.02370e-03,-6.60e-01,0.00e+00,
1.02380e-03,-6.40e-01,0.00e+00,
1.02390e-03,-5.00e-01,0.00e+00,
1.02400e-03,-4.80e-01,0.00e+00,
1.02410e-03,-3.40e-01,0.00e+00,
1.02420e-03,-3.20e-01,0.00e+00,
1.02430e-03,-1.60e-01,-2.00e-02,
1.02440e-03,-1.40e-01,0.00e+00,
1.02450e-03,4.00e-02,-2.00e-02,
1.02460e-03,6.00e-02,0.00e+00,
1.02470e-03,2.20e-01,-2.00e-02,
1.02480e-03,2.40e-01,0.00e+00,
1.02490e-03,4.00e-01,0.00e+00,
1.02500e-03,4.20e-01,0.00e+00,
1.02510e-03,5.80e-01,0.00e+00,
1.02520e-03,5.60e-01,0.00e+00,
1.02530e-03,7.20e-01,0.00e+00,
1.02540e-03,7.20e-01,0.00e+00,
1.02550e-03,9.00e-01,0.00e+00,
1.02560e-03,9.00e-01,0.00e+00,
1.02570e-03,1.02e+00,0.00e+00,
1.02580e-03,1.04e+00,0.00e+00,
1.02590e-03,1.18e+00,0.00e+00,
1.02600e-03,1.16e+00,0.00e+00,
1.02610e-03,1.28e+00,0.00e+00,
1.02620e-03,1.28e+00,0.00e+00,
1.02630e-03,1.36e+00,0.00e+00,
1.02640e-03,1.36e+00,0.00e+00,
